animation_id,input_phase,target_phase,input_path,target_path,frame_id
Bouncing Ball 1,line,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\Bouncing Ball 1\line\BouncingBall_Lines_0001.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\Bouncing Ball 1\color\BouncingBall_Colors_0001.png,549
Bouncing Ball 1,line,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\Bouncing Ball 1\line\BouncingBall_Lines_0002.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\Bouncing Ball 1\color\BouncingBall_Colors_0002.png,550
Bouncing Ball 1,line,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\Bouncing Ball 1\line\BouncingBall_Lines_0003.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\Bouncing Ball 1\color\BouncingBall_Colors_0003.png,551
Bouncing Ball 1,line,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\Bouncing Ball 1\line\BouncingBall_Lines_0004.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\Bouncing Ball 1\color\BouncingBall_Colors_0004.png,552
Bouncing Ball 1,line,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\Bouncing Ball 1\line\BouncingBall_Lines_0005.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\Bouncing Ball 1\color\BouncingBall_Colors_0005.png,553
Bouncing Ball 1,line,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\Bouncing Ball 1\line\BouncingBall_Lines_0006.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\Bouncing Ball 1\color\BouncingBall_Colors_0006.png,554
Bouncing Ball 1,line,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\Bouncing Ball 1\line\BouncingBall_Lines_0007.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\Bouncing Ball 1\color\BouncingBall_Colors_0007.png,555
Bouncing Ball 1,line,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\Bouncing Ball 1\line\BouncingBall_Lines_0008.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\Bouncing Ball 1\color\BouncingBall_Colors_0008.png,556
Bouncing Ball 1,line,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\Bouncing Ball 1\line\BouncingBall_Lines_0009.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\Bouncing Ball 1\color\BouncingBall_Colors_0009.png,557
Bouncing Ball 1,line,color,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\Bouncing Ball 1\line\BouncingBall_Lines_0010.png,E:\dataScience\Fiver orders\Order 15\AI Animation system\AI anim\data\processed\Bouncing Ball 1\color\BouncingBall_Colors_0010.png,558
